,year,age,suicides_no
0,1979,15-24 years,14701.0
6,1980,15-24 years,23121.0
12,1981,15-24 years,25190.0
18,1982,15-24 years,25068.0
24,1983,15-24 years,18388.0
30,1984,15-24 years,18225.0
36,1985,15-24 years,25565.0
42,1986,15-24 years,24609.0
48,1987,15-24 years,22060.0
54,1988,15-24 years,21131.0
60,1989,15-24 years,21538.0
66,1990,15-24 years,24624.0
72,1991,15-24 years,24062.0
78,1992,15-24 years,25728.0
84,1993,15-24 years,26180.0
90,1994,15-24 years,28467.0
96,1995,15-24 years,29819.0
102,1996,15-24 years,31120.0
108,1997,15-24 years,30928.0
114,1998,15-24 years,31657.0
120,1999,15-24 years,32380.0
126,2000,15-24 years,32591.0
132,2001,15-24 years,31729.0
138,2002,15-24 years,31948.0
144,2003,15-24 years,31420.0
150,2004,15-24 years,29549.0
156,2005,15-24 years,28452.0
162,2006,15-24 years,28647.0
168,2007,15-24 years,28395.0
174,2008,15-24 years,28925.0
180,2009,15-24 years,29189.0
186,2010,15-24 years,28235.0
192,2011,15-24 years,28589.0
198,2012,15-24 years,27035.0
204,2013,15-24 years,25720.0
210,2014,15-24 years,25161.0
216,2015,15-24 years,22835.0
222,2016,15-24 years,1306.0
1,1979,25-34 years,17149.0
7,1980,25-34 years,29358.0
13,1981,25-34 years,34369.0
19,1982,25-34 years,35536.0
25,1983,25-34 years,22454.0
31,1984,25-34 years,22497.0
37,1985,25-34 years,37353.0
43,1986,25-34 years,34597.0
49,1987,25-34 years,33767.0
55,1988,25-34 years,33065.0
61,1989,25-34 years,34244.0
67,1990,25-34 years,37361.0
73,1991,25-34 years,36837.0
79,1992,25-34 years,39080.0
85,1993,25-34 years,40366.0
91,1994,25-34 years,42361.0
97,1995,25-34 years,42790.0
103,1996,25-34 years,43316.0
109,1997,25-34 years,41913.0
115,1998,25-34 years,42453.0
121,1999,25-34 years,42770.0
127,2000,25-34 years,42478.0
133,2001,25-34 years,41167.0
139,2002,25-34 years,42460.0
145,2003,25-34 years,41878.0
151,2004,25-34 years,39105.0
157,2005,25-34 years,38236.0
163,2006,25-34 years,37866.0
169,2007,25-34 years,38658.0
175,2008,25-34 years,38497.0
181,2009,25-34 years,40133.0
187,2010,25-34 years,38976.0
193,2011,25-34 years,38587.0
199,2012,25-34 years,37365.0
205,2013,25-34 years,36494.0
211,2014,25-34 years,36480.0
217,2015,25-34 years,33114.0
223,2016,25-34 years,2203.0
2,1979,35-54 years,28614.0
8,1980,35-54 years,53525.0
14,1981,35-54 years,64006.0
20,1982,35-54 years,65017.0
26,1983,35-54 years,38472.0
32,1984,35-54 years,39660.0
38,1985,35-54 years,68447.0
44,1986,35-54 years,62740.0
50,1987,35-54 years,62177.0
56,1988,35-54 years,60677.0
62,1989,35-54 years,62978.0
68,1990,35-54 years,69484.0
74,1991,35-54 years,70755.0
80,1992,35-54 years,77598.0
86,1993,35-54 years,83472.0
92,1994,35-54 years,88049.0
98,1995,35-54 years,90538.0
104,1996,35-54 years,92454.0
110,1997,35-54 years,89119.0
116,1998,35-54 years,92752.0
122,1999,35-54 years,97481.0
128,2000,35-54 years,99150.0
134,2001,35-54 years,98534.0
140,2002,35-54 years,100163.0
146,2003,35-54 years,100253.0
152,2004,35-54 years,94010.0
158,2005,35-54 years,90039.0
164,2006,35-54 years,88413.0
170,2007,35-54 years,87032.0
176,2008,35-54 years,87955.0
182,2009,35-54 years,91707.0
188,2010,35-54 years,88650.0
194,2011,35-54 years,86469.0
200,2012,35-54 years,83718.0
206,2013,35-54 years,82070.0
212,2014,35-54 years,80533.0
218,2015,35-54 years,72591.0
224,2016,35-54 years,6086.0
3,1979,5-14 years,635.0
9,1980,5-14 years,999.0
15,1981,5-14 years,1186.0
21,1982,5-14 years,1161.0
27,1983,5-14 years,993.0
33,1984,5-14 years,992.0
39,1985,5-14 years,1442.0
45,1986,5-14 years,1532.0
51,1987,5-14 years,1459.0
57,1988,5-14 years,1493.0
63,1989,5-14 years,1479.0
69,1990,5-14 years,1615.0
75,1991,5-14 years,1603.0
81,1992,5-14 years,1790.0
87,1993,5-14 years,1877.0
93,1994,5-14 years,1878.0
99,1995,5-14 years,1951.0
105,1996,5-14 years,1956.0
111,1997,5-14 years,1961.0
117,1998,5-14 years,2165.0
123,1999,5-14 years,2120.0
129,2000,5-14 years,2150.0
135,2001,5-14 years,2191.0
141,2002,5-14 years,2172.0
147,2003,5-14 years,1968.0
153,2004,5-14 years,1929.0
159,2005,5-14 years,1855.0
165,2006,5-14 years,1835.0
171,2007,5-14 years,1770.0
177,2008,5-14 years,1728.0
183,2009,5-14 years,1918.0
189,2010,5-14 years,1817.0
195,2011,5-14 years,1967.0
201,2012,5-14 years,1883.0
207,2013,5-14 years,1955.0
213,2014,5-14 years,2020.0
219,2015,5-14 years,1771.0
225,2016,5-14 years,96.0
4,1979,55-74 years,23270.0
10,1980,55-74 years,34566.0
16,1981,55-74 years,40002.0
22,1982,55-74 years,41862.0
28,1983,55-74 years,30275.0
34,1984,55-74 years,30812.0
40,1985,55-74 years,47643.0
46,1986,55-74 years,47262.0
52,1987,55-74 years,47757.0
58,1988,55-74 years,45545.0
64,1989,55-74 years,46213.0
70,1990,55-74 years,50056.0
76,1991,55-74 years,50097.0
82,1992,55-74 years,53575.0
88,1993,55-74 years,56316.0
94,1994,55-74 years,58814.0
100,1995,55-74 years,59715.0
106,1996,55-74 years,60655.0
112,1997,55-74 years,59326.0
118,1998,55-74 years,62281.0
124,1999,55-74 years,63362.0
130,2000,55-74 years,61663.0
136,2001,55-74 years,59774.0
142,2002,55-74 years,61006.0
148,2003,55-74 years,61667.0
154,2004,55-74 years,57878.0
160,2005,55-74 years,57307.0
166,2006,55-74 years,57342.0
172,2007,55-74 years,57533.0
178,2008,55-74 years,58437.0
184,2009,55-74 years,60608.0
190,2010,55-74 years,60454.0
196,2011,55-74 years,59871.0
202,2012,55-74 years,59217.0
208,2013,55-74 years,58686.0
214,2014,55-74 years,58458.0
220,2015,55-74 years,54250.0
226,2016,55-74 years,4913.0
5,1979,75+ years,8421.0
11,1980,75+ years,11979.0
17,1981,75+ years,13261.0
23,1982,75+ years,14249.0
29,1983,75+ years,11848.0
35,1984,75+ years,12241.0
41,1985,75+ years,17083.0
