,country,suicides_no,population
0,Albania,1970.0,233851.37634408602
1,Anguilla,2.0,
2,Antigua and Barbuda,11.0,6115.830357142857
3,Argentina,93862.0,2680715.6103603602
4,Armenia,2422.0,254150.42142857143
5,Aruba,120.0,7341.854166666667
6,Australia,80279.0,1451329.5945945946
7,Austria,60179.0,630063.6271929825
8,Azerbaijan,3366.0,554960.6666666666
9,Bahamas,107.0,22171.114942528737
10,Bahrain,463.0,66483.83333333333
11,Barbados,205.0,20405.352150537634
12,Belarus,74974.0,775633.3970588235
13,Belgium,75948.0,808090.5878378379
14,Belize,352.0,17295.625
15,Bermuda,91.0,4154.166666666667
16,Bolivia,54.0,
17,Bosnia and Herzegovina,3591.0,325602.5
18,Brazil,250824.0,12402341.774774775
19,British Virgin Islands,8.0,
20,Brunei Darussalam,123.0,27372.73015873016
21,Bulgaria,42868.0,651459.1620370371
22,Cabo Verde,42.0,37681.583333333336
23,Canada,128382.0,2290042.3404761907
24,Cayman Islands,19.0,1591.6666666666667
25,Chile,44126.0,1099974.1689189188
26,Colombia,54136.0,2949133.765625
27,Costa Rica,7346.0,264513.8611111111
28,Croatia,29400.0,356154.1432291667
29,Cuba,41418.0,838740.6148648649
30,Cyprus,412.0,63975.44117647059
31,Czech Republic,51664.0,816615.4401041666
32,Denmark,15297.0,416222.11486486485
33,Dominica,54.0,5301.388888888889
34,Dominican Republic,5312.0,
35,Ecuador,22595.0,870490.8581081082
36,Egypt,1206.0,5375003.008333334
37,El Salvador,13865.0,420997.7113095238
38,Estonia,12671.0,111370.57843137255
39,Falkland Islands (Malvinas),1.0,
40,Fiji,304.0,62025.68939393939
41,Finland,33677.0,401086.1666666667
42,France,395500.0,4568459.895833333
43,French Guiana,264.0,13946.539215686274
44,Georgia,4971.0,365563.60294117645
45,Germany,291262.0,6489985.935897436
46,Greece,14385.0,833808.1193693693
47,Grenada,38.0,7582.455128205128
48,Guadeloupe,583.0,32973.77450980392
49,Guatemala,8403.0,807959.2401960784
50,Guyana,3438.0,55977.43518518518
51,Haiti,28.0,
52,Honduras,1072.0,
53,Hong Kong SAR,29691.0,494409.6846846847
54,Hungary,130018.0,808710.2368421053
55,Iceland,1230.0,21316.690789473683
56,Iran (Islamic Rep of),7299.0,5959657.916666667
57,Iraq,3.0,
58,Ireland,13960.0,295502.97685185185
59,Israel,12663.0,442476.5811403509
60,Italy,157074.0,4585968.027027027
61,Jamaica,198.0,186297.83333333334
62,Japan,937614.0,9775190.18918919
63,Jordan,87.0,
64,Kazakhstan,123151.0,1199795.7573529412
65,Kiribati,53.0,5772.534722222223
66,Kuwait,1013.0,173981.42741935485
67,Kyrgyzstan,16436.0,349759.52696078434
68,Latvia,24861.0,187350.32407407407
69,Lithuania,42166.0,265836.7
70,Luxembourg,2367.0,33817.24324324324
71,Macau,27.0,28878.5
72,Malaysia,939.0,
73,Maldives,20.0,24168.716666666667
74,Malta,587.0,29279.736486486487
75,Martinique,538.0,29477.59259259259
76,Mauritius,4062.0,84601.76754385965
77,Mayotte,6.0,15710.166666666666
78,Mexico,117479.0,7058869.18018018
79,Monaco,17.0,
80,Mongolia,450.0,195120.0
81,Montenegro,472.0,48623.85833333333
82,Montserrat,1.0,
83,Morocco,664.0,
84,Netherlands,60205.0,1222620.5438596492
