,year,age,rate_per_100k
0,1979,Overall,8.019672465869148
1,1980,Overall,10.332216984141313
2,1981,Overall,11.95298030880571
3,1982,Overall,12.52473708029867
4,1983,Overall,9.060943795044139
5,1984,Overall,11.119560491306803
6,1985,Overall,13.042610616631434
7,1986,Overall,13.038165488012874
8,1987,Overall,13.14390341434575
9,1988,Overall,14.069583420703358
10,1989,Overall,14.376658228405262
11,1990,Overall,13.64535235945806
12,1991,Overall,13.88001329195025
13,1992,Overall,14.561015334352263
14,1993,Overall,15.03291692109762
15,1994,Overall,15.125233439127756
16,1995,Overall,15.406568084049214
17,1996,Overall,15.015247281699416
18,1997,Overall,14.85917348195691
19,1998,Overall,14.595342042351163
20,1999,Overall,14.252335474770288
21,2000,Overall,13.438012216702004
22,2001,Overall,13.238486710765581
23,2002,Overall,12.986423301840844
24,2003,Overall,12.563606909238858
25,2004,Overall,11.741335383678747
26,2005,Overall,11.154374316364494
27,2006,Overall,11.448135465474788
28,2007,Overall,11.651122228186802
29,2008,Overall,11.467388850169264
30,2009,Overall,11.201298732337195
31,2010,Overall,10.836246672199463
32,2011,Overall,10.178445333276287
33,2012,Overall,10.473299294636732
34,2013,Overall,10.14937797978556
35,2014,Overall,10.109402191371093
36,2015,Overall,10.130408282449935
37,2016,Overall,10.213605180934804
0,1979,05-14,0.19583717212439228
1,1979,15-24,4.68699531314868
2,1979,25-34,6.355933676998454
3,1979,35-54,8.060096797577385
4,1979,55-74,10.45204088562281
5,1979,75+,18.367130949743185
6,1980,05-14,0.37756032903995834
7,1980,15-24,6.7129371749487845
8,1980,25-34,9.06114860257405
9,1980,35-54,10.93717737882838
10,1980,55-74,13.006032804798503
11,1980,75+,21.89844561465824
12,1981,05-14,0.4128898048558025
13,1981,15-24,7.566171193847801
14,1981,25-34,11.522004576132556
15,1981,35-54,14.601368839507883
16,1981,55-74,15.83294707715536
17,1981,75+,21.782500361334876
18,1982,05-14,0.3457320688441591
19,1982,15-24,7.812939629656707
20,1982,25-34,12.318652641629143
21,1982,35-54,15.376621821560791
22,1982,55-74,16.099508413852053
23,1982,75+,23.194967906249154
24,1983,05-14,0.35007422752420936
25,1983,15-24,5.938070170523331
26,1983,25-34,8.118450449014366
27,1983,35-54,9.695451520232586
28,1983,55-74,11.961968420181401
29,1983,75+,18.301647982788932
30,1984,05-14,0.4961224447825794
31,1984,15-24,7.864388527594163
32,1984,25-34,10.673401804787115
33,1984,35-54,11.71242972059682
34,1984,55-74,13.766717358688295
35,1984,75+,22.204303091391914
36,1985,05-14,0.5480944560162716
37,1985,15-24,7.74873559868922
38,1985,25-34,11.599724026546179
39,1985,35-54,15.694804040013983
