,country,rate_per_100k
0,Albania,2.4858918512019774
1,Anguilla,
2,Antigua and Barbuda,0.5331545954840041
3,Argentina,10.530430291415888
4,Armenia,3.0311598394540016
5,Aruba,7.571774567809112
6,Australia,12.669930800000598
7,Austria,24.12387702113131
8,Azerbaijan,2.9609953284589863
9,Bahamas,1.2632138635004648
10,Bahrain,1.8540577043476392
11,Barbados,2.7732487722913723
12,Belarus,24.2774783352127
13,Belgium,22.15419134348106
14,Belize,5.5321979094804625
15,Bermuda,2.4097550112575687
16,Bolivia,
17,Bosnia and Herz.,9.411514301550083
18,Brazil,5.681115741113935
19,British Virgin Islands,
20,Brunei,2.2495306908036694
21,Bulgaria,19.277364235870806
22,Cabo Verde,11.153090322241768
23,Canada,12.99166849685083
24,Cayman Islands,0.0
25,Chile,9.899092333230879
26,Colombia,5.389369151649871
27,Costa Rica,6.83403178942317
28,Croatia,24.78640070085871
29,Cuba,13.765578979633412
30,Cyprus,2.8736905502198202
31,Czech Republic,18.868462861466572
32,Denmark,8.381998293500157
33,Dominica,1.1211796145739235
34,Dominican Republic,
35,Ecuador,6.0627155803987165
36,Egypt,0.09048285365765331
37,El Salvador,11.125480098148588
38,Estonia,29.72732249206766
39,Falkland Islands (Malvinas),
40,Fiji,5.105296038612542
41,Finland,17.84713769469019
42,France,22.446608113449958
43,French Guiana,11.742578809611137
44,Georgia,4.178086849149288
45,Germany,15.55980960994319
46,Greece,4.106784717343765
47,Grenada,2.118591140001246
48,Guadeloupe,8.809253939193331
49,Guatemala,2.982536521149747
50,Guyana,20.70565139026431
51,Haiti,
52,Honduras,
53,Hong Kong,17.48280280559037
54,Hungary,39.67527048407625
55,Iceland,12.207462635820066
56,Iran,3.2100470814465187
57,Iraq,
58,Ireland,10.230517511435325
59,Israel,8.788757051432757
60,Italy,8.71492842318043
61,Jamaica,0.4393149648983091
62,Japan,22.192549434034735
63,Jordan,
64,Kazakhstan,29.330281856688057
65,Kiribati,6.100672873996888
66,Kuwait,1.0558849122660363
67,Kyrgyzstan,14.810053962376744
68,Latvia,32.47988087727437
69,Lithuania,37.692288858304984
70,Luxembourg,17.314229529566756
71,Macau,14.3118247973226
72,Malaysia,
73,Maldives,1.3674223448496206
74,Malta,4.2345744500383
75,Martinique,9.740469280125195
76,Mauritius,10.334438959246755
77,Mayotte,2.216468141500942
78,Mexico,4.353483372967612
79,Monaco,
80,Mongolia,8.106367948163141
81,Montenegro,9.950312567721532
82,Montserrat,
83,Morocco,
84,Netherlands,11.050955711698617
85,Netherlands Antilles,
86,New Zealand,14.292548554869628
87,Nicaragua,6.567177758844533
88,Norway,10.492727815056833
89,Occupied Palestinian Territory,
90,Oman,0.7357428441791586
91,Panama,5.2851757269694355
92,Paraguay,3.82760983226345
93,Peru,
94,Philippines,1.5791117392773786
95,Poland,12.627854916631852
96,Portugal,10.23677422577596
97,Puerto Rico,10.71015057346645
98,Qatar,1.7776665389867503
99,Korea,25.135740433165175
100,Moldova,17.674662168131967
101,Reunion,13.06596294868966
102,Rodrigues,6.9558902775159455
103,Romania,9.151269980973705
104,Russia,33.24939251819176
105,Saint Kitts and Nevis,0.0
106,Saint Lucia,7.064166036239975
107,Saint Pierre and Miquelon,
108,Saint Vincent and Grenadines,5.138841520185331
109,San Marino,9.770642136115136
110,Sao Tome and Principe,1.5413422878596488
111,Saudi Arabia,
112,Serbia,22.16434169695976
113,Seychelles,7.4801762504401905
114,Singapore,17.845249133492057
115,Slovakia,8.91985676910733
116,Slovenia,31.013602416962435
117,South Africa,0.9644707442552014
118,Spain,8.933508197684404
119,Sri Lanka,37.78250709769901
120,Suriname,22.13355137781513
121,Sweden,11.510134701161531
122,Switzerland,10.797414690598602
123,Syrian Arab Republic,
124,Macedonia,10.765678819941293
125,Tajikistan,
126,Thailand,7.181446646174484
127,Trinidad and Tobago,12.714324148655978
128,Tunisia,
129,Turkey,2.371190574335531
130,Turkmenistan,8.771589906446938
131,Turks and Caicos Islands,
132,Ukraine,25.845019935914323
133,United Arab Emirates,1.317943341506396
134,United Kingdom,7.626234771182192
135,United States,13.601606981449216
136,Uruguay,18.171165938280875
137,Uzbekistan,8.490756754818449
138,Venezuela,6.719679772776533
139,Virgin Islands,6.291391334055747
140,Zimbabwe,
