,country,year,sex,age,suicides_no,population,rate_per_100k
18227,Hungary,1981,male,75+,390.0,177900.0,219.22428330522766
18203,Hungary,1979,male,75+,364.0,172400.0,211.13689095127611
18239,Hungary,1982,male,75+,378.0,180300.0,209.65058236272878
18275,Hungary,1985,male,75+,393.0,189700.0,207.16921454928834
18215,Hungary,1980,male,75+,357.0,176600.0,202.15175537938845
18335,Hungary,1990,male,75+,386.0,196496.0,196.4416578454523
18263,Hungary,1984,male,75+,365.0,186200.0,196.02577873254563
18287,Hungary,1986,male,75+,364.0,192900.0,188.6988076723691
18299,Hungary,1987,male,75+,370.0,196800.0,188.0081300813008
31655,Republic of Korea,2011,male,75+,1276.0,688365.0,185.3667748941332
18251,Hungary,1983,male,75+,339.0,183000.0,185.24590163934425
31643,Republic of Korea,2010,male,75+,1152.0,631853.0,182.32088792804655
18359,Hungary,1992,male,75+,317.0,178482.0,177.60894656043746
18371,Hungary,1993,male,75+,300.0,168944.0,177.57363386684344
18347,Hungary,1991,male,75+,333.0,188235.0,176.90652641644752
31583,Republic of Korea,2005,male,75+,780.0,442349.0,176.33135827141012
18383,Hungary,1994,male,75+,292.0,165660.0,176.26463841603282
18323,Hungary,1989,male,75+,359.0,204800.0,175.29296875
31631,Republic of Korea,2009,male,75+,1006.0,578635.0,173.857440355319
18311,Hungary,1988,male,75+,348.0,201300.0,172.87630402384502
31607,Republic of Korea,2007,male,75+,860.0,497517.0,172.85841488833546
31571,Republic of Korea,2004,male,75+,722.0,417832.0,172.79672212755364
31559,Republic of Korea,2003,male,75+,674.0,394465.0,170.86433523886782
18395,Hungary,1995,male,75+,282.0,169919.0,165.96142868072434
18443,Hungary,1999,male,75+,302.0,185652.0,162.66994161118652
36071,Slovenia,1991,male,75+,46.0,28400.0,161.97183098591552
18419,Hungary,1997,male,75+,296.0,182808.0,161.91851560106778
31619,Republic of Korea,2008,male,75+,828.0,534462.0,154.9221460085095
31595,Republic of Korea,2006,male,75+,722.0,466922.0,154.62968118872104
31667,Republic of Korea,2012,male,75+,1137.0,745816.0,152.4504703572999
23168,Lithuania,1994,male,35-54,658.0,433645.0,151.7370199126013
23192,Lithuania,1996,male,35-54,664.0,438770.0,151.33213300818198
31679,Republic of Korea,2013,male,75+,1191.0,806960.0,147.59095865966097
23180,Lithuania,1995,male,35-54,632.0,436306.0,144.8524659298749
36191,Slovenia,2001,male,75+,45.0,31096.0,144.71314638538718
23204,Lithuania,1997,male,35-54,637.0,440546.0,144.5933001321088
18407,Hungary,1996,male,75+,254.0,176106.0,144.23131523059973
18455,Hungary,2000,male,75+,272.0,188686.0,144.1548392567546
36047,Slovenia,1989,male,75+,44.0,30600.0,143.79084967320262
23183,Lithuania,1995,male,75+,67.0,47214.0,141.90706146481975
31703,Republic of Korea,2015,male,75+,1329.0,944284.0,140.7415565656095
18467,Hungary,2001,male,75+,276.0,205366.0,134.39420351956994
23264,Lithuania,2002,male,35-54,613.0,456468.0,134.29199856287843
36095,Slovenia,1993,male,75+,34.0,25400.0,133.85826771653544
23156,Lithuania,1993,male,35-54,575.0,431920.0,133.12650490831635
36035,Slovenia,1988,male,75+,41.0,30800.0,133.11688311688312
23228,Lithuania,1999,male,35-54,592.0,446764.0,132.50843845967893
23240,Lithuania,2000,male,35-54,595.0,451103.0,131.89892330576387
13475,Estonia,1982,male,75+,24.0,18300.0,131.14754098360655
31547,Republic of Korea,2002,male,75+,489.0,374816.0,130.46401434303766
22751,Latvia,1993,male,75+,44.0,33800.0,130.1775147928994
37055,Sri Lanka,1980,male,75+,121.0,94000.0,128.72340425531917
36059,Slovenia,1990,male,75+,38.0,29900.0,127.09030100334449
22748,Latvia,1993,male,35-54,405.0,320800.0,126.24688279301745
23216,Lithuania,1998,male,35-54,557.0,442825.0,125.78332298311973
18431,Hungary,1998,male,75+,238.0,189405.0,125.65666165095958
13616,Estonia,1995,male,35-54,227.0,180939.0,125.4566456098464
37115,Sri Lanka,1985,male,75+,144.0,115000.0,125.21739130434784
13631,Estonia,1996,male,75+,22.0,17605.0,124.96449872195399
13667,Estonia,1999,male,75+,23.0,18414.0,124.90496361464103
31691,Republic of Korea,2014,male,75+,1090.0,875829.0,124.45351775289468
23218,Lithuania,1998,male,55-74,345.0,278617.0,123.82589719938123
37127,Sri Lanka,1986,male,75+,145.0,117200.0,123.72013651877134
23252,Lithuania,2001,male,35-54,559.0,453841.0,123.1708902457028
36107,Slovenia,1994,male,75+,31.0,25300.0,122.5296442687747
13628,Estonia,1996,male,35-54,217.0,178056.0,121.87177067888754
23194,Lithuania,1996,male,55-74,336.0,275843.0,121.80842000703298
13604,Estonia,1994,male,35-54,224.0,184129.0,121.65384051398748
18479,Hungary,2002,male,75+,254.0,209732.0,121.10693647130624
22631,Latvia,1983,male,75+,46.0,38000.0,121.05263157894737
36179,Slovenia,2000,male,75+,36.0,29760.0,120.96774193548389
18515,Hungary,2005,male,75+,269.0,222774.0,120.75017730973993
23170,Lithuania,1994,male,55-74,329.0,272882.0,120.56493282810887
18503,Hungary,2004,male,75+,262.0,218145.0,120.10360081597103
22835,Latvia,2000,male,75+,37.0,31135.0,118.83732134254055
23182,Lithuania,1995,male,55-74,325.0,274196.0,118.52835198179403
35999,Slovenia,1985,male,75+,34.0,28700.0,118.46689895470384
22760,Latvia,1994,male,35-54,373.0,315200.0,118.33756345177665
22774,Latvia,1995,male,55-74,239.0,203600.0,117.38703339882122
23242,Lithuania,2000,male,55-74,324.0,276055.0,117.36791581387767
33128,Russian Federation,1994,male,35-54,22338.0,19044200.0,117.29555455204209
22643,Latvia,1984,male,75+,45.0,38400.0,117.1875
13606,Estonia,1994,male,55-74,137.0,117318.0,116.77662421793758
