,unique_values,counts
0,Central Coast,74
1,Brisbane ,52
2,Mid-Coast,49
3,Lake Macquarie,49
4,Shoalhaven,48
5,Clarence Valley,46
6,Greater Geelong ,45
7,Unincorporated ACT,43
8,Yarra Ranges ,43
9,Mornington Peninsula ,39
10,Canterbury-Bankstown,39
11,Moreton Bay ,38
12,Brimbank ,38
13,Greater Shepparton ,38
14,Parramatta,37
15,Gold Coast ,37
16,Blacktown,37
17,Litchfield ,36
18,Tweed,35
19,Greater Bendigo ,35
20,Fairfield,35
21,Sutherland,34
22,Port Stephens,34
23,Latrobe  ,34
24,Stirling ,33
25,Monash ,33
26,Liverpool,33
27,Playford ,33
28,Wyndham ,33
29,Tamworth Regional,33
30,Casey ,32
31,Cardinia ,32
32,Singleton,32
33,Newcastle,32
34,Sydney,31
35,Wollongong,31
36,Salisbury ,31
37,Penrith,31
38,Unincorporated SA,30
39,Dubbo Regional,30
40,Kingston  ,29
41,East Gippsland ,29
42,Townsville ,28
43,Cumberland,28
44,Logan ,28
45,Swan ,28
46,Wanneroo ,28
47,Bundaberg ,28
48,Port Macquarie-Hastings,28
49,Greater Dandenong ,27
50,Hume ,27
51,Hawkesbury,27
52,South Gippsland ,26
53,Onkaparinga ,26
54,Sunshine Coast ,26
55,Wingecarribee,25
56,Murrindindi ,25
57,Wollondilly,25
58,Toowoomba ,25
59,Moira ,25
60,Gympie ,24
61,Hornsby,24
62,Adelaide Hills ,24
63,Moorabool ,24
64,Launceston ,23
65,Armadale ,23
66,Bathurst Regional,23
67,Frankston ,23
68,Cockburn ,23
69,Harvey ,22
70,Melton ,22
71,Charles Sturt ,22
72,Mid-Western Regional,22
73,Roper Gulf ,22
74,Joondalup ,21
75,Bayside,21
76,Knox ,21
77,Rockingham ,21
78,Whittlesea ,21
79,Barossa ,21
80,Snowy Monaro Regional,21
81,Northern Beaches,21
82,Serpentine-Jarrahdale ,20
83,Darwin ,20
84,Port Adelaide Enfield ,20
85,Alexandrina ,20
86,Cessnock,20
87,Mitchell ,20
88,Macedon Ranges ,20
89,Greater Geraldton ,19
90,Wellington ,19
91,Campaspe ,19
92,Goulburn Mulwaree,19
93,Coffs Harbour,19
94,Eurobodalla,19
95,The Hills,19
96,Lismore,18
97,Colac-Otway ,18
98,Richmond Valley,18
99,Ballarat ,18
100,Murray ,18
101,Cairns ,18
102,Northam ,18
103,Mildura ,18
104,Yass Valley,17
105,Golden Plains ,17
106,Kalamunda ,17
107,Murray Bridge ,17
108,Somerset ,17
109,Light ,17
110,Maribyrnong ,16
111,Glenelg ,16
112,Loxton Waikerie ,16
113,West Torrens ,16
114,The Coorong ,16
115,Horsham ,16
116,Kempsey,16
117,Busselton ,16
118,Hepburn ,16
119,Boroondara ,16
120,Scenic Rim ,16
121,Nambucca,16
122,Hilltops,16
123,Corangamite ,16
124,Mundaring ,16
125,Victoria Daly ,16
126,Whitehorse ,16
127,Bellingen,16
128,Bega Valley,15
129,Darebin ,15
130,Unincorporated NT,15
131,Baw Baw ,15
132,Meander Valley ,15
133,Wangaratta ,15
134,Wakefield ,15
135,Moreland ,15
136,Campbelltown,15
137,Melbourne ,15
138,Cabonne,15
139,Ipswich ,15
140,Snowy Valleys,15
141,Barkly ,15
142,Cootamundra-Gundagai,15
143,Inner West,15
144,Gosnells ,14
145,Ryde,14
146,Warrumbungle,14
147,Narromine,14
148,Mid Murray ,14
149,Dardanup ,14
150,Mackay ,14
151,Narrabri,14
152,Central Highlands  ,14
153,Mandurah ,14
154,Northern Grampians ,13
155,Naracoorte and Lucindale ,13
156,Ballina,13
157,Marion ,13
